#{"t_start": 1781094374.7070918, "env_id": "None"}
r,l,t
-10.0,1,3.96322
3.0,1,3.96322
-10.0,1,3.979019
-10.0,1,3.979019
-10.0,1,3.979019
-10.0,1,3.979019
-10.0,1,3.979019
-10.0,1,3.996443
-10.0,1,3.996443
-10.0,1,3.996443
-10.0,1,3.996443
-10.0,1,4.010958
-10.0,1,4.010958
3.0,1,4.010958
-10.0,1,4.010958
3.0,1,4.010958
-10.0,1,4.025362
10.0,1,4.026871
10.0,1,4.026871
-10.0,1,4.038993
-10.0,1,4.042765
-10.0,1,4.04477
-10.0,1,4.046775
-10.0,1,4.04878
-10.0,1,4.04878
10.0,1,4.04878
-10.0,1,4.058426
-10.0,1,4.058426
-10.0,1,4.058426
3.0,1,4.058426
-10.0,1,4.058426
-10.0,1,4.07796
-10.0,1,4.07796
-10.0,1,4.07796
10.0,1,4.07796
-10.0,1,4.090117
-10.0,1,4.090117
10.0,1,4.090117
-10.0,1,4.090117
-10.0,1,4.106182
-10.0,1,4.106182
-10.0,1,4.106182
-10.0,1,4.106182
-10.0,1,4.106182
-10.0,1,4.106182
-10.0,1,4.106182
-10.0,1,4.106182
-10.0,1,4.125295
3.0,1,4.125295
10.0,1,4.125295
-10.0,1,4.125295
-10.0,1,4.13781
-10.0,1,4.13781
-10.0,1,4.13781
-10.0,1,4.13781
-10.0,1,4.153532
3.0,1,4.154784
-10.0,1,4.154784
-10.0,1,4.154784
-10.0,1,4.154784
10.0,1,4.154784
-10.0,1,4.154784
-10.0,1,4.169568
